rec_id,first_name,last_name,city,social_security_number,phone_number,date_of_birth,gender,state
rec-000-org,noah,nguyen,newark,798-88-4243,(320) 549-8976,21-07-1977,male,california
rec-001-org,shelby,crouch,newark,150-47-8126,(854) 229-1637,20-04-1972,female,california
rec-002-dup-0,kyle,wight,newark,069-38-3644,(299) 005-4748,31-10-2021,,new hork
rec-002-dup-1,kyle,white,nesark,069-38-3644,(299) 005-4748,31-10-20z1,female,new 6ork
rec-002-org,kyle,white,newark,069-38-3644,(299) 005-4748,31-10-2021,female,new york
rec-003-dup-0,pollyanna,coffey,newark,948-30-8951,(505) 643-3800,05-12-1992,,pennsylfwnia
rec-003-org,polly,coffey,newark,948-30-8951,(505) 643-3800,05-12-1992,female,pennsylvania
rec-004-org,chase,white,madison,443-86-4031,(650) 061-2240,12-07-2018,female,missouri
rec-005-dup-0,oliver,bradshaw,chicago,710-64-4191,(856) 201-9557,13-02-2o15,,connectidut
rec-005-dup-1,ollie,bradshaw,chivago,710-64-4191,(856) 201-9557,13-02-2o15,male,connecticut
rec-005-org,oliver,bradshaw,chicago,710-64-4191,(856) 201-9557,13-02-2015,male,connecticut
rec-006-org,isabelle,yee,newark,246-21-9728,(777) 853-2650,11-03-2004,female,michigan
rec-007-org,xanthe,dixon,newark,754-80-4921,(895) 565-9679,06-08-2000,male,texas
rec-008-dup-0,jade,nguyen,newaek,800-04-6549,(630) 154-1647,19-05-1974,,washington
rec-008-dup-1,jade,nguyen,newark,800-04-6549,(630) 154-1647,19-05-1974,,washingyon
rec-008-org,jayde,nguyen,newark,800-04-6549,(630) 154-1647,19-05-1974,male,washington
rec-009-org,oliver,claydon,newark,534-03-1271,(925) 186-0073,17-06-1981,male,alabama
rec-010-dup-0,madison,shepherd,newaek,058-59-9165,(444) 619-0433,03-o4-2022,male,new yo4k
rec-010-dup-1,madison,shepherd,newarj,057-59-9165,(444) 619-0433,03-04-2022,male,new hork
rec-010-org,madison,shepherd,newark,058-59-9165,(444) 619-0433,03-04-2022,male,new york
rec-011-dup-0,katelin,reid,newafk,509-59-241r,(402) 794-1510,09-06-2009,,texas
rec-011-dup-1,katelin,reid,newa5k,509-t9-2414,(402) 794-1510,09-06-z009,female,texas
rec-011-org,katelin,reid,newark,509-59-2414,(402) 794-1510,09-06-2009,female,texas
rec-012-dup-0,dylan,chandler,newark,7u5-64-1351,(215) 853-4999,27-0z-2012,,illinois
rec-012-org,dylan,chandler,newark,775-64-1351,(215) 853-4999,27-02-2012,male,illinois
rec-013-org,jesse,white,newark,229-01-6854,(309) 542-7070,06-07-1962,female,california
rec-014-dup-0,emiily,mcclelland,newafk,543-32-5808,(506) 613-8798,21-04-20|6,male,colorado
